title,createdAt,qua
〔突發〕〔英文文宣〕香港警察暴行曝光,2019-07-17,1
香港反對派煽動澳門群眾，遭到一片嘲諷,2019-07-18,2
為什麼支持送中？,2019-07-18,2
香港警隊內部已經默認定性示威者為暴徒,2019-07-19,1
任達華兄長是香港警務處前高層 曾批反送中不理性,2019-07-20,3
突發！香港警方逮捕「港獨」成員，查獲國際恐怖分子常用炸藥,2019-07-20,3
【逃犯條例】建制動員「守護香港」　大會宣布31.6萬人參與,2019-07-20,3
求關注 香港鄉黑在元朗西鐵站無差別亂打人,2019-07-21,15
[逃犯條例]721遊行、元朗打人事件,2019-07-21,15
血腥慎入）ＴＶＢ前記者被毆到滿頭是血<U+22EF><U+22EF>,2019-07-21,15
更) 香港 毆打事件!! 官商鄉黑 推!!,2019-07-21,15
反送中出現白衣人毆打事件,2019-07-21,15
【快訊】大批白衫人聚集於香港元朗車站無差別攻擊示威者,2019-07-21,15
不定時更)這裏他媽就是香港,2019-07-21,15
香港直播看得好害怕<U+22EF><U+22EF>,2019-07-21,15
香港加油,2019-07-22,7
昨天晚上香港發生了什麼事,2019-07-22,7
0721—香港黑暗的一天,2019-07-22,7
當台灣回歸大陸後....,2019-07-22,7
蔡英文：我們很快就能在台灣見面！,2019-07-22,7
香港黑道暴力打人，連孕婦都不放過,2019-07-22,7
建議共匪讓香港變成無政府狀態,2019-07-22,7
香港黑道無差別暴力毆打市民,2019-07-21,15
721保佑香港 台灣人一定要知道,2019-07-21,15
香港,2019-07-21,15
警黑合作？香港白衣人殺紅眼 黑衣民眾遭圍毆 議員濺血,2019-07-21,15
今日澳門 明日臺灣,2019-07-21,15
說好50年不變，看看現在變成什麼樣子？,2019-07-21,15
今日香港 明日台灣,2019-07-21,15
中共封鎖任何支持香港的聲音,2019-07-15,11
香港反對派暴徒要求不追責是痴心妄想,2019-07-15,11
香港反對派頭目造謠警察打人，被當事人打臉,2019-07-15,11
這就是香港手無寸鐵，和平的示威者,2019-07-15,11
國民黨初選民調的笑話,2019-07-15,11
談談韓國瑜即將參選總統,2019-07-15,11
沙田反送中「香港警察，知法犯法」#更,2019-07-15,11
＃新聞 香港警察應對方式被質疑：衝突暴力升級引各界憂慮,2019-07-15,11
過去民進黨的支持者,2019-07-15,11
關於2020總統大選,2019-07-15,11
香港人還在為自由抗爭，請珍惜你們所擁有的,2019-07-15,11
簽了賣身契的香港,2019-07-16,9
蔡英文：2020年大選，將是一場台灣捍衛民主生活方式的選戰。,2019-07-16,9
遭暴力衝擊，警察手指被暴徒咬斷！香港警方拘捕47人,2019-07-16,9
#新聞：震驚！上千美國波多黎各市民和平示威，遭警察發射催淚彈，橡皮子彈,2019-07-16,9
鐵路勇警李承翰，一路好走我們永遠懷念您,2019-07-16,9
韓國輸未當選,2019-07-16,9
香港【逆權運動】抗爭持續,2019-07-16,9
反送中升級反中共 香港11所高校發表聯合聲明,2019-07-16,9
反送中仍持續著,2019-07-16,9
7.7港警暴動  大量警察16組嚴重違規行為,2019-07-07,2
【緊急】【真的非常緊急】香港進入緊急狀態  轉發,2019-07-07,2
#新聞 香港對於昨日遊行的反應,2019-07-08,1
#香港 #何韻詩 #聯合國人權理事會,2019-07-09,6
蔡英文自稱台灣總統 藍營要求她退出中華民國總統選舉,2019-07-09,6
都是香港有興趣看一下吧？香港警察的違規,2019-07-09,6
#討論 香港這座城市還有救嗎？,2019-07-09,6
香港警察對待不同政治取態的示威者，手法有極大不同,2019-07-09,6
香港需要大家的幫忙,2019-07-09,6
中國人：你們千萬不要相信中天說的！,2019-07-10,5
