"","title","createdAt"
"1","韓粉有樣學樣，成立罷免「黃捷」社團","2019-07-01T07:10:08.012Z"
"2","疑似偷拍還嗆空姐混蛋(有影片)","2019-07-01T07:04:33.956Z"
"3","大政治大爆卦─無色覺醒","2019-07-01T07:02:12.529Z"
"4","飲料店也無聲聲援反送中 #微更","2019-07-01T06:52:14.215Z"
"5","無關罷工的垃圾話","2019-07-01T06:43:59.750Z"
"6","中時抹綠金曲獎?","2019-07-01T06:34:04.883Z"
"7","太可怕！墨西哥驟降冰雹 城市遭冰層覆蓋","2019-07-01T06:13:36.382Z"
"8","「擔心我走了」86歲兄照顧重障弟半世紀 林姿妙助雙老","2019-07-01T05:57:28.129Z"
"9","接獲市府申請 化學兵今開入高雄市壓制登革熱","2019-07-01T05:48:57.690Z"
"10","酒駕新制今上路 北市警首日執法就有乘客受連坐罰","2019-07-01T05:48:49.412Z"
"11","為什麼館長到現在都還沒開幹柯p啊","2019-07-01T05:00:37.798Z"
"12","自己的主權自己伸張","2019-07-01T05:00:02.660Z"
"13","求高調！香港《反送中》下的犧牲品...","2019-07-01T04:56:05.245Z"
"14","登革熱補助","2019-07-01T04:45:13.567Z"
"15","#新聞 蘇丹再開殺戒：軍隊朝「百萬示威」民眾開火，已知7死181傷","2019-07-01T04:34:31.694Z"
"16","罷免韓國瑜？柯文哲：台灣社會變成極端「兩個瘋子」","2019-07-01T04:27:44.809Z"
"17","罷工，是公司的問題","2019-07-01T04:17:56.438Z"
"18","Mmm<U+22EF>庶民？","2019-07-01T04:14:21.604Z"
"19","#發問 #討論 韓總為百姓做的事以及為何是總統最佳人選","2019-07-01T04:12:07.760Z"
"20","如何讓反風向的重要文章推上去？","2019-07-01T03:29:39.482Z"
"21","民進黨若未守住2020 蔡：國際認為比香港嚴重","2019-07-01T03:24:28.591Z"
"22","勞保2026破產","2019-07-01T03:15:43.482Z"
"23","剛剛發現OPPO的回傳資料設定","2019-07-01T02:48:54.359Z"
"24","#新聞  貨車傳出貓叫...南京700隻貓竟擬運至黑心公司做食材","2019-07-01T02:43:05.551Z"
"25","〈獨家專訪1〉「我現在就要搞妳」 輔大教授遭控約會強暴【壹點就報】","2019-07-01T02:18:44.663Z"
"26","我對蔡啊軋很失望","2019-07-01T02:10:46.315Z"
"27","違背韓粉民意的下場？","2019-07-01T02:03:10.373Z"
"28","憲政慣例","2019-07-01T00:43:03.915Z"
"29","未成年兄妹關心國家大事　總統府前大放炮喊：打倒蔡英文","2019-07-01T00:41:24.359Z"
"30","韓國瑜擺脫亂流！民調領先柯蔡","2019-07-01T00:33:47.423Z"
"31","最近是不是很多黨工湧入啊","2019-07-01T13:11:21.645Z"
"32","花蓮亞泥一挖60年族人抗議 徐旭東：你二三代來抱怨，我們同情 挖到不能挖為止","2019-07-01T13:01:27.655Z"
"33","美前勞工部長:美若不做政經體制改革，將來前景堪憂","2019-07-01T12:54:31.810Z"
"34","快到選舉共產黨又有開始動作了！","2019-07-01T12:31:14.580Z"
"35","額.....看到這我真的不知道要說什麼了","2019-07-01T12:26:03.351Z"
"36","柯嗆「假道學、麥卡錫主義」黃國昌：關說者沒資格談司改","2019-07-01T12:00:48.537Z"
"37","黃國昌臉書","2019-07-01T11:53:13.700Z"
"38","2020若柯不參選，國民黨是最佳選擇","2019-07-01T11:50:55.132Z"
"39","梁家輝冒雨挺港警！粉絲心碎 怒折鍾鎮濤唱片","2019-07-01T11:43:08.394Z"
"40","香港人，你活著就是最大的報復","2019-07-01T11:28:37.959Z"
"41","長榮罷工秋後算賬","2019-07-01T11:26:57.080Z"
"42","太神啦！一個遊戲可以危害國家安全","2019-07-01T11:05:22.120Z"
"43","瑞典重拳出擊中共：中國的柏林牆必須倒塌 人民必須自由","2019-07-01T11:00:00.207Z"
"44","2020總統大選 我拒絕含淚投給蔡英文","2019-07-01T10:45:00.040Z"
"45","美國的「一中原則」不等於中國的「一中原則」（根本不同！！","2019-07-01T10:41:44.651Z"
"46","黃光芹控選舉經費不清 韓國瑜反問：人生快樂嗎？","2019-07-01T10:00:05.627Z"
"47","轉：郭台銘的權貴大灑幣園遊會來囉","2019-07-01T09:37:24.199Z"
"48","蘇揆轟登革熱領款效率差 王淺秋酸：又不是ATM","2019-07-01T09:27:45.777Z"
"49","駁18金釵曠職時間軸 長榮：乘客沒登機是因為空服員不服勤","2019-07-01T09:04:34.493Z"
"50","<U+0001F44F>吳哥窟明年開始禁止騎大象啦！","2019-07-01T08:46:20.172Z"
"51","爆發登革熱中央就是漠不關心","2019-07-01T08:21:39.580Z"
"52","實價登錄2.0玩假的?","2019-07-01T08:17:09.793Z"
"53","電話民調對你來說意義是什麼？","2019-07-01T08:16:40.786Z"
"54","不惜賣2房做公益！ 屏東阿嬤希望韓總、郭董來看看她","2019-07-01T08:12:25.826Z"
"55","勞資雙方記者會","2019-07-01T08:06:39.185Z"
"56","《2020年情報授權法》調查台灣總統大選中國統戰滲透","2019-07-01T07:57:42.823Z"
"57","(幫高調）國籍航空上的報紙選擇怎麼那麼少？","2019-07-01T07:31:05.533Z"
"58","耗時逾22年 台終將自口蹄疫區除名","2019-07-01T07:29:23.648Z"
"59","反送中港民試圖衝破立法會玻璃","2019-07-01T07:28:33.211Z"
"60","蔡英文：自由民主永續之旅，用行動為台灣拚外交！","2019-07-01T07:24:47.319Z"
"61","最新民調 1450崩潰囉","2019-07-01T17:10:39.339Z"
"62","我是香港人，三次遊行我都沒去","2019-07-01T17:02:33.393Z"
"63","地球正在浩劫","2019-07-01T16:59:09.429Z"
"64","金曲30 視覺舞台設計","2019-07-01T16:53:48.588Z"
"65","怎麼刪文了？","2019-07-01T16:46:00.150Z"
"66","香港的示威者真可愛","2019-07-01T16:41:24.132Z"
"67","很捨不得香港<U+0001F1ED><U+0001F1F0>反送中的民眾<U+0001F62D><U+0001F622><U+0001F62D>","2019-07-01T16:23:15.133Z"
"68","任正非：現在美國肯定建不成先進的信息網絡，因為華為不在美國銷售5G設備","2019-07-01T16:05:30.739Z"
"69","就是有這種打假球台灣人","2019-07-01T15:44:10.328Z"
"70","台灣要準備進入一級戰備了嗎","2019-07-01T15:18:43.571Z"
"71","原來蔣公精神被遺留在了香港","2019-07-01T15:12:53.501Z"
"72","為何藍Ｏ反反送中","2019-07-01T15:05:55.017Z"
"73","港仔如果成功反攻大陸 台灣還要繼續當中國嗎？","2019-07-01T15:02:19.325Z"
"74","香港人加油！送一首《鬼島》給你們。","2019-07-01T14:56:33.058Z"
"75","<U+0001F525>幫高調#驅逐共匪 光復民國<U+0001F525>","2019-07-01T14:55:43.782Z"
"76","＃端傳媒  我的新天地","2019-07-01T14:55:09.744Z"
"77","#新聞 印尼、越南爆發登革熱、蔡政府出錢出力　韓國瑜怒批「一國兩制」：對高雄卻漠不關心","2019-07-01T14:50:40.415Z"
"78","共匪們 港仔已經露出真面目啦","2019-07-01T14:49:33.430Z"
"79","港版太陽花！反送中佔領立法會 民眾噴漆蓋住特區徽章","2019-07-01T14:32:51.771Z"
"80","香港衝進立法會了！香港加油！","2019-07-01T14:32:14.611Z"
"81","影后葉德嫻穿黑衣上街「反送中」","2019-07-01T14:17:20.949Z"
"82","轉：#轉貼《還願》中國發行商被勒令停業，理由是「危害國家安全」","2019-07-01T14:13:31.229Z"
"83","中共戰車何時開出來","2019-07-01T14:10:46.513Z"
"84","合法罷工 不合理訴求","2019-07-01T14:07:29.429Z"
"85","香港版三一八：示威者衝進立法會，噴漆要求「撤回惡法」","2019-07-01T14:02:40.820Z"
"86","七一回歸","2019-07-01T13:58:08.583Z"
"87","<U+0001F1ED><U+0001F1F0>港版太陽花來了！","2019-07-01T13:46:40.347Z"
"88","郭董跟館長的直播","2019-07-01T13:41:01.029Z"
"89","美國的一中政策=台灣是國家","2019-07-01T13:28:46.622Z"
"90","<U+26A0><U+FE0F>香港人佔領立法會了(更新至01:00完","2019-07-01T13:20:17.316Z"
"91","酒駕、拒測加重處罰 同車乘客連坐處罰","2019-07-02T03:23:49.123Z"
"92","相隔31年後 日本7／1起恢復商業捕鯨活動","2019-07-02T03:21:46.978Z"
"93","蘇丹反對派號召抗議遭槍擊 7死近2百傷","2019-07-02T03:20:16.995Z"
"94","#問卷 NCC民意信箱 使用者經驗調查","2019-07-02T03:11:46.036Z"
"95","全台最大AR實境遊戲","2019-07-02T02:59:48.816Z"
"96","揪團變韓粉","2019-07-02T02:45:53.108Z"
"97","郭台銘：99％一定通過初選","2019-07-02T02:27:01.857Z"
"98","人TM腦殘，什麼制度，就算來美國，你都是燒炭自殺的命","2019-07-02T02:11:57.282Z"
"99","香港各界譴責沖擊立法會暴行","2019-07-02T02:06:48.575Z"
"100","方便監控？美國白宮想立法廢除 Whatsapp、Telegram 訊息加密功能","2019-07-02T02:05:10.117Z"
"101","港版太陽花？黃國昌：不認為","2019-07-02T02:03:20.994Z"
"102","香港示威者的團結精神令人敬佩","2019-07-02T01:49:11.031Z"
"103","【博恩夜夜秀】欸！農地工廠","2019-07-02T01:27:45.931Z"
"104","公懲會今審管案 台大教授：公審羞辱台大校長令人悲哀","2019-07-02T01:25:01.635Z"
"105","不爽不要做","2019-07-02T01:09:57.819Z"
"106","是否要對香港採取霹靂手段？","2019-07-02T01:04:56.563Z"
"107","要人命的假訊息更該打","2019-07-02T00:41:35.495Z"
"108","震撼！新黨參戰2020總統 財經主持人楊世光上陣","2019-07-02T00:33:39.476Z"
"109","香港人發表《香港抗爭宣言》","2019-07-02T00:14:48.437Z"
"110","反送中是不是被陰了？","2019-07-01T23:23:59.577Z"
"111","最後是郭台銘出來中天要怎麼辦？","2019-07-01T22:56:56.908Z"
"112","軍人的退休金是政府給的承諾，不該少","2019-07-01T22:28:59.737Z"
"113","蘋果報導的反送中","2019-07-01T21:10:18.305Z"
"114","我是天朝上<U+56FD>大中<U+534E>的 ，<U+8BF7><U+6765><U+603C>我","2019-07-01T20:45:51.214Z"
"115","七月一日，香港歷史性的一夜。","2019-07-01T20:28:14.108Z"
"116","從投英到拒投 柯文哲是關鍵","2019-07-01T19:52:44.046Z"
"117","大<U+9646>","2019-07-01T18:48:26.451Z"
"118","看長榮罷工 談空服員產業","2019-07-01T18:33:04.238Z"
"119","長榮罷工事件","2019-07-01T17:42:01.268Z"
"120","【香港版太陽花】請大家，不要那麼快忘記香港","2019-07-01T17:41:07.954Z"
"121","選舉投票新指標","2019-07-02T09:04:35.643Z"
"122","推薦韓國瑜看黑澤明的影武者","2019-07-02T08:53:51.702Z"
"123","蔡英文：自由的台灣，撐香港的自由<U+0001F4AA>","2019-07-02T08:14:27.144Z"
"124","危害國家安全？ 《還願》中方代理商遭停業","2019-07-02T07:35:01.905Z"
"125","其實也可以用另一種方式讓他下台","2019-07-02T07:12:39.350Z"
"126","一起走！民眾強忍害怕架走死守義士：更怕明天看不到戰友","2019-07-02T07:09:25.841Z"
"127","（轉）一位經歷七一遊行記者的見聞","2019-07-02T07:06:20.719Z"
"128","對最近的暴力衝擊，國務院港澳辦和特區政府嚴正表態","2019-07-02T06:49:33.873Z"
"129","捷克把8台籍電信詐欺犯「送中」　22歲嫌求不引渡：將與爸媽天人永隔","2019-07-02T06:38:54.439Z"
"130","長榮罷工","2019-07-02T06:27:23.162Z"
"131","罷工事件","2019-07-02T06:09:14.504Z"
"132","黃國昌國會質詢2019-6-25【對大法官被提名人楊惠欽的國會審查質詢】院會","2019-07-02T06:08:31.128Z"
"133","日韓貿易戰？日本反擊「南韓徵用工」的半導體限令","2019-07-02T06:04:32.782Z"
"134","《2019/07/01精彩回顧》","2019-07-02T05:04:00.077Z"
"135","新黨推「統派」楊世光選總統 揚言當選將把蔡英文繩之以法","2019-07-02T05:02:50.703Z"
"136","長榮罷工真正該被秋後算帳的對象","2019-07-02T04:57:47.263Z"
"137","#新聞  軍力第一的霸氣 美國防部稱能同時應對中國、伊朗","2019-07-02T04:48:55.370Z"
"138","香港反送中資訊更新","2019-07-02T04:44:00.730Z"
"139","蔡英文出訪過境美國惹怒大陸 美國國務院回應了","2019-07-02T04:37:27.793Z"
