"titles","texts","time.stamp","month","date"
"[問卦] 香港太陽花是不是有點落漆 ","
我本來以為香港太陽花是要衝進去 佔領 好幾天

等到有回應才退

結果現在12點了 裡面剩不到50人

外面也只有幾百人

這活動注定失敗 人太少了

很容易被驅離

香港太陽花是不是有點落漆

(應該請教台灣太陽花)

PS: 現在警方已經在集結了 , 香港太陽花GG了

    既然要衝就應該人多一點

    這人數..............

--

GG了 警方已經確定要驅離了
 ","Tue Jul  2 00:00:23 2019 ","Jul","2"
"[問卦] 長榮新訓 VS 國軍新訓 ","
在FB上看到如下描述，講的約是20年前的事：

TXXX CXXX

當年我飛3年多 ，...............(中略)..............

為什麼不離職 ，問的好 ，那請問你來幫我賠錢嗎 ？

或是

----------------------------------------------------------

又在 網誌看2015年的長榮新訓分享，就上12周的課，

內容大概

早上8.30上到17.30，中間有吃飯，晚上有練習時間、跟讀書時間

六人房，要摺被被(內務)，

員工餐廳很好吃，要感謝董事長。

早上7-11吃到膩。 (軍隊有福利社或全家之類的~但都馬是福利...)

還總結培訓生活是否很難熬，是見仁見智的問題，

文章主說：「訓練中心的生活算比較輕鬆，學姊們說上線才是挑戰。」

----------------------------------------------------------

究竟，20年前的長榮新訓有沒有比國軍時薪八塊半的新訓更賽的八掛？



--
 ","Tue Jul  2 00:00:31 2019 ","Jul","2"
"[問卦] 夏天台北哪邊妹最讚? ","
小弟一些朋友最近打算在台北擺攤，

順便要我問問夏天台北哪裡的妹最讚？

不要跟我講五木，

這些孩子年紀都還小，還單純

還請各為圖王系的朋友報個名牌！


--
：　
台灣就真的變畸形兒鬼島了： 

福島核能爆炸全錄像：
更多車諾比核災的畸形兒：


--
 ","Tue Jul  2 00:00:44 2019 ","Jul","2"
"[問卦] 被敵強我弱的人強姦就要乖乖被幹? ","
我發現有的人想法很特別

覺得如果在敵強我弱的情況下

就是要乖乖的跪下來讓別人幹

也覺得某些人就是低賤，所以幹他們是應該的

這應該是覺得自己是強者的情況下，才有這種想法吧

不然今天輪到你變成那個弱者

難道你也會乖乖的跪下來讓對方幹你嗎？

所以這群人就是寧可跪著生，也不想站著死嗎？

還是這群人以為自己一輩子都會是強者，不會有跪著的時候?

--
感覺有些人就算被幹也沒差
 ","Tue Jul  2 00:01:21 2019 ","Jul","2"
"[新聞] 18人記曠職 勞動部：長榮主張合理／資方 ","
1.媒體來源:

自由

2.記者署名

記者蕭玗欣、姚介修、高嘉和、魏瑾筠

3.完整新聞標題:

起算日支費後罷工！18人記曠職 勞動部：長榮主張合理／資方認定空服員擅離職守 工會
：4點後停止勞務不違法

4.完整新聞內文:

〔記者蕭玗欣、姚介修、高嘉和、魏瑾筠／綜合報導〕長榮航空勞資前日簽訂團協，在首
條不秋後算帳條款就觸礁破局，罷工進入第十一天，雙方針對秋後算帳議題持續角力。桃
園市空服員職業工會主張十八名遭記曠職的空服員屬合理罷工，更指被記曠職已達廿五人
。長榮航空回應，十八人六月二十日下午四點前已報到，之後卻擅離職守，另有七名組員
在訓練課程時中途離開，都暫記曠職。勞動部官員分析，關鍵點在於何時起算日支費，資
方主張「報到時間是在罷工前，並不在宣布罷工範圍」，較為合理。

6月20日桃空職工發動罷工通知，下午4點後報到的組員停止勞動服務；但18名組員下午2
點多報到後不願上機工作，在登機門一直等到4點加入罷工（資料照，記者姚介修翻
攝）

長榮勞資協商爭議事項

六月廿日下午，十八名飛香港及飛上海班機的空服員，分別在當天下午兩點多報到，日支
費開始計算，桃空職工兩點半左右發出簡訊：「下午四時以後報到的所有勤務，一律不得
提供勞務…。」十八人便未執勤，四點後罷工。有資深空服員透露，香港班機延誤一個多
小時，上海班機延誤三個小時，主因是工會強佔大門，臨時調派組員不得其門而出，當她
們輾轉抵達機場，久候旅客還起立鼓掌謝謝她們。

三人取回三寶服勤 仍需面臨懲處
長榮航空發言人陳耀銘強調，十八名組員下午兩點多就開始執行勤務，卻在下午四點擅離
職守，依規定暫記曠職。他也說，其中三人六月廿八日已取回三寶服勤，但仍要進行調查
後懲處。桃空職工則譴責此舉試圖動搖堅守罷工棚的會員。

桃空職工理事廖以勤說明，罷工首日，公司得知工會傳出罷工簡訊後，座艙長請罷工者直
接離開，但十八名空服員堅持等到四點後才罷工，因此四點一分進入候機室才跟地勤說要
退關。且工會宣布的罷工時間是四點，組員四點後停止提供勞務，並無違法。

工會譴責長榮試圖動搖堅守罷工會員
勞動部官員分析，關鍵點並非報到或提供勞務時間，而是資方何時起算日支費。長榮航空
從「報到至報退」計算，因此資方的主張較為合理。

桃空職工前天宣布投票結果為同意停止罷工，卻因晚間與資方簽訂團體協約不成，決定繼
續罷工，外界質疑投票是投假的；工會表示是按董事長提出的六大方案進行投票，並非決
定是否停止罷工，且沒想到簽定團協時，公司又提出許多新要求，包括飛安服勤獎金壓到
二○二○年才生效，更要求工會設定罷工預告期。工會認為這些都不在會員投票項目內，
無法簽下這樣的團協。長榮表示是長期以來的呼籲，希望保障旅客權益。

5.完整新聞連結 (或短網址):



6.備註:

都是長榮請的公關公司啦!

--
 ","Tue Jul  2 00:01:30 2019 ","Jul","2"
"[問卦] 有割包的按1 沒割的男生按2 ","

上次問台灣多數的男生都沒割包皮
有人說我見過的樣本數不夠
八卦身為ptt第一大板
同時有數千人在線
樣本基數應該夠
好吧
那有割的按1
沒有割的臭gg按2
女生就3

--
 ","Tue Jul  2 00:02:30 2019 ","Jul","2"
"[爆卦] 香港這次現場有十幾人預了犧牲性命當死士 ","
香港這次現場有十幾人，預了犧牲性命，當死士

昨晚，青少年人開會，有九人舉手做死士，捨棄性命

唉



--
 ","Tue Jul  2 00:02:46 2019 ","Jul","2"
"Re: [爆卦] 大法官被提名人楊惠欽做出違憲判決 ","
第一
這是八卦板不是學術討論板
我猜這篇作者就是公視那篇說被帶風向的同一個作者
黃國昌在影片講得很清楚
法律程序是可以合併申報的
但結果是不可高於申報前
否則有懲罰婚姻的問題
這個結論在修法後與釋憲後再次被確定了318
所謂的租稅公平就是這麼一回事


這篇文我不知道是不是你寫的
但凸顯了更多司法改革的問題

財政部的苦心一方面固然值得嘉許，但另一方面還是要很遺憾地承認函釋超越了法律。

財政部函釋超過了法律
那財政部沒有邀集立委處理這個攸關人民權益的重大案件
法律規定夫妻要合併申報
但318號文後
很明顯申報後的結果違反了租稅公平的原則
單身與結婚後顯有租稅不公平的狀況
這不是顯而易見嗎？

最簡單的做法不就是暫停審判申請釋憲嗎？
台灣高等法院刑事庭的法官錢建榮。
二○一四年，他停止審理林若亞案，兩年後主動聲請釋憲。

從錢德榮的例子很明顯就能看出
遇到有問題的稅案你不能以函釋超越法律
又必須保持憲法318的原則
那最簡單就是再度釋憲
這麼簡單的事情一個判決經驗豐富的法官會不知道？
如果他知道，那就他不做
如果他不知道，那連這種事贏都不知道，有資格擔任大法官？

這篇文章的作者通篇把問題丟給立法委員
立法委員很爛沒有錯
但身為一位要成為大法官的人
他在行政的過程心中沒有憲法沒有去針對很明顯很常見的案例的釋憲去關懷
否則他就會與錢德榮一樣
暫停審判申請釋憲
這是法官素質問題

現在也不是只有這條有問題
國民年金法第五十條我已經提了不知道幾次
這很明顯任何律師稍有憲法常識
都會知道這條違憲
沒有一個立委要改
每一個都懶惰自私

如果今天法官願意以一個基本的邏輯去替小老百姓思考
而不是像那位評論的作者一樣
用國家的公權力去思考
把責任全部推給立委
人民就會信任司法
事實就是只要楊惠欽有一個最基本的法律人的概念

合併後不應該比合併前高
否則婚姻就是種懲罰
這個概念無比基本與簡單
任何人都能輕易的理解與接受
只要照著這個邏輯去努力停止審判並釋憲
今天你就是英雄不是被社會唾棄與責罵的那個人
在法官這個位置是能定人生死的

江國慶被槍斃
蘇建和案被冤望
盧正案血型不合證據不足被宣判死刑
刑事冤案是法官在證據不足以自白對司法隨意的一種血的證明
稅案金額幾萬元
但牽涉的就如黃國昌所說
是人民對司法的信任
如果每一個法官都用這種隨便隨意的態度對待自己的判決
說什麼行政嘗試
假設今天的行政嘗試是站在人民的利益
那當然可以
但是站在政府的利益
同樣打一場官司
判錯了國家買單
受刑人失去針對的青春

所以對於司法與法官特別是要擔任大法官的人
社會會用最嚴格最殘酷的標準
不然你就不要去當大法官
都還不提連層級化的法律保留原則都答不出來的人
準備走馬上任大法官

這個作者被帶的連風向還不是
是連心中沒有人民與那些當事人深陷司法案件的痛苦
法官天天在法院根本沒有感覺
當事人要開庭要請假要舟車勞頓忍受身心的痛苦與煎熬
在法院我身為被害人都還被法官言詞凌厲的大聲問話
請問我身為一個被害人
權益受到侵害了
而且我什麼事情都沒有做東西被偷了
我該受到任何指責嗎？

妳月經來了還是家裡死人了
干我屁事？
不要求態度很好
但對待被害人是這種態度嗎？
更別提台灣司法連法院錄音都不行還要經過同意
公開透明的法院非性侵等案件
請問有什麼不能錄音錄影的原因嗎？
還不就是怕法官們講錯話引用錯法條亂判一通被社會專家與輿論公幹
該被檢討的從來不是黃國昌
他帶的風向很簡單

替人民的權益奮鬥
而不是替國家機器的無理與殘廢奮鬥
就這麼簡單好懂
不用長篇大論 不用引經據典
任何一個法律人你心中有人民
不管你是法官 律師 檢察官
你都會用最高的標準與最明確的定義去判決
否則歷史就會緊緊跟隨你
就像楊惠欽一樣

要為他的稅法判決，職務法庭判決，不懂階層化的法律保留意見
在歷史上被狠狠記上一筆
如果今天我是他
我早就自己主動辭職下台了
能有那個臉繼續就職大法官
實在了不起
佩服佩服













--
Every man for himself and God against them all.

--
不服來辯
1.我沒說立委沒錯
2.一樣遇到稅案，就有錢德榮申請暫停審判申請釋憲

我們楊大法官
要翻書
不知何謂層級化的法律保留原則
也不審慎對待318後的案件

對此學者專家也沒人不贊同他的質詢啊
對大法官黃國昌都說拉
專家學者呵呵
你沒看馬上有不具名的德國博士生出來護航我們即將上任的大法官

捧的很多
罵得倒是很少
難怪台灣法院會出江國慶案 蘇建和盧正這種冤死的死囚
法官素質決定人權素質

你又不是當事人你又知道他不想？
楊惠欽問過他想不想嗎？
標準還差真多勒
楊惠欽職務法庭三個判例你怎不提？
層級化的法律保留原則講不出來你怎不提？

夫妻合併申報的問題
難道很少發生？
如果他很少發生
今天黃國昌這樣罵
我會覺得很刁難
明明就很常發生
318拖到696
多少懶惰的法官殘害了多少無辜的納稅人
然後說不要談錢

對拉
小老百姓該死拉
偉大的法官針對蘇建和案
有人出來負責賠償嗎？
你不就正在罵？
邏輯勒？
還是你不是人？

好拉好拉
我們不討論租稅問題
你覺得楊答出的
層級化的法律保留原則
你可以接受這種人當大法官？
所以他到底適不適合擔任大法官
你先回答這個問題

看吧
一遇到關鍵問題
他適不適合
法律專家們又不回答了
這就是有趣的地方
因為318號解釋文我們長篇大論共識太慢
跟長榮日支費一樣
先討論大家比較有可能有共識的
 ","Tue Jul  2 00:03:24 2019 ","Jul","2"
"[問卦] 雞爪這種東西都誰在吃的？ ","
雞爪，台灣到處都可以看到這種小吃

多是滷或炸 台中東海的雞爪有名到聽說有的人會特別跨縣市去買

但吃這東西的樂趣到底在哪啊 說他香嗎 吃起來有一種腥味 口感也很噁心 還沒什麼肉
價格也不算便宜啊 台灣人平常會去計較買麥脆雞買到翅 卻特地跑去買一個沒肉的雞爪..
？

請問有沒有雞爪這種東西到底都是誰喜歡吃的？

--
 ","Tue Jul  2 00:03:48 2019 ","Jul","2"
"[新聞] 台灣白海豚僅存50隻 科博館策展示警   ","
台灣白海豚僅存50隻 科博館策展示警

媒體：RTI

時間：2019-07-01 11:14

新聞引據：採訪

撰稿編輯：江昭倫

國立自然科學博物館即日起推出「拍岸鯨奇：當鯨豚與人相遇」 特展，展出中華白海豚與
海洋生物模型與多樣鯨豚類標本、操作多媒體互動遊戲等多元內容，提醒民眾愛護海洋環境
，讓被國際認證「瀕臨物種」的台灣白海豚受到重視與保育。

根據最新的白海豚族群監測研究顯示，，許多環保人士大聲疾呼儘
速建立白海豚保育區與保育措施。

為了讓更多人對於白海豚生活環境有更多認識，科博館最新特展「拍岸鯨奇：當鯨豚與人相
遇」 特展中，對於台灣白海豚以及同樣被視為國際保育焦點的連江縣江豚的生態環境也多
所著墨，透過環境造景、影像、標本，讓民眾深切感受到人類活動對於白海豚造成的重大影
響。策展人姚秋如：『(原音)祂們的生存環境裡面其實有很多人的作為，譬如說海岸的一些
小波塊、水泥化、人工設施，以及海上人工設施跟活動等等，希望觀眾藉著觀察，藉著參觀
，他就可以察覺到一些海洋環境的現況。』

展覽同時將近年來台灣鯨豚人員如何透過照相辨識法，辨別白海豚的斑紋、背鰭缺刻，進而
掌握台灣白海豚數量的調查方式，也向外界揭露。

此外，展覽活動期間，也將放映白海豚紀錄片，並邀請鯨豚研究人員黃祥麟博士分享他對於
白海豚的最新研究調查結果，讓民眾對於被列為瀕危動物白海豚有更多認識，加強保育觀念
。

至於同樣是，在連江縣擱淺數量居台灣各縣市海域之冠，這次展覽也呈
現台灣研究人員最新研究成果，包括江豚胃含量分析、如何透過牙齒切片了解江豚年齡以及
江豚的族群多樣性。

策展人姚秋如指出，鯨豚展一直是科博館相當受歡迎的主題，但已經有超過十年沒有如此大
型主題展，
，也都要在睽違多年後再度呈現在民眾眼前，精彩可期

最新監測發現，台灣白海豚數量僅存50隻，岌岌可危。(黃祥麟攝)


科博館「拍岸鯨奇：當鯨豚與人相遇」 特展，展出中華白海豚與海洋生物模型與多樣鯨豚
類標本，提醒民眾重視並保育被國際認證「瀕臨物種」的台灣白海豚。(科博館提供)




備註：

龍王鯨


大村鯨


--
人民不需要自由，這是最好的年代，人民不需要自由，這是最好的年代---李志

--
 ","Tue Jul  2 00:04:20 2019 ","Jul","2"
