"titles","texts","time.stamp","month","date"
"[問卦] 女學生要摸我頭 怎麼辦 ","
魯蛇 魯妹 姆咪豪
女學生主動要求想摸我頭欸
該不會還想偷聞頭髮味道欸 嘻嘻
會有事嗎




--
 ","Sat Jun 22 00:00:30 2019 ","Jun","00:00:30"
"[問卦] 知道發文要配圖的都幾歲了？ ","
在PTT發文不外乎有圖有真相
所以我喜歡發文並附圖
不知道各位喜歡發文配圖的鄉民都幾歲了？
還是大家喜歡看圖不發文呢
我來附個圖
















--
 ","Sat Jun 22 00:00:55 2019 ","Jun","00:00:55"
"Re: [爆卦] 館長可能因為623遊行導致生意完全斷絕 ","
比較懷疑

最近很多YOUTUBER開始去遊行或造勢現場直播
賺了不少點閱率

但6/23如果正如館長所說 眾多媒體都被下了封口令
還有YOUTUBER6/23那天敢去直播嗎?

如果之前都有在直播類似的影片   不敢去
可以視為只想賺錢蹭人氣 結果而不敢丟掉中國市場的YOTUBER嗎?

--
yotuber一堆都接工商代言或出書
如果被封殺這些收入都會斷掉
又不只有賺流量收入...  太天真了吧
 ","Sat Jun 22 00:01:39 2019 ","Jun","00:01:39"
"[新聞] 傳訊謝忻「陽台有4裸男抽菸」　阿翔稱變質1個月被打臉 ","
1.媒體來源:
TVBS

2.記者署名
林保宏

3.完整新聞標題:
傳訊謝忻「陽台有4裸男抽菸」　阿翔稱變質1個月被打臉

4.完整新聞內文:

謝忻曾在去年底在自己臉書粉絲團發文和分享照片，稱說自家客廳亂，以為是被闖空門。
(圖／翻攝自謝忻臉書)

藝人阿翔(陳秉立)偷吃同門師妹謝忻，2人日前在街上激吻被拍到，引發各界嘩然震驚。儘
管事後阿翔2度出面開記者會道歉，但給人感覺誠意不足；謝忻更是神隱至今，僅發表道歉
信而並未公開現身道歉。阿翔堅稱「2人的友情變質是在這1個月內發生的事」，但其實早
在年初2人就有被拍到在車上密會48分鐘，還有人找出去年9月，謝忻分享自己家遭闖空門
的事件，阿翔當時就通知她，推測2人偷情早就不只1個月了。

謝忻在臉書發文和分享照片，她提到去年9月30日早上9點不到，就被阿翔傳來的語音
驚醒，對方緊張問「你有在你家嗎？我是說你有在台北的家嗎？為什麼你家陽台有四個男
的沒穿衣服站在那裡抽菸？」還在睡夢中的她立刻嚇醒，當時她人正在基隆老家，懷疑台
北的家中恐被闖空門？

阿翔當時曾傳訊給謝忻稱說妳家陽台有4裸男抽菸，懷疑2人不倫戀的時間不只才1個月。(
合成(圖／本報資料圖和謝忻臉書)

經過冷靜思考後，謝忻認為自家陽台空間不大，連洗衣機都放不下，要怎麼擠下4個男子
？但沒多久阿翔又傳了一則語音訊息，與謝忻確認她家的陽台位置和特徵，這讓謝忻慌了
，最後在阿翔的勸告下立刻回到台北，確認家中是否遭闖空門。

就在回到台北的家中，謝忻進屋一看，當場嚇到倒抽一口氣，「根本就是犯罪現場闖空門
後的景象啊啊啊，這個客廳至少有6個人來現場翻攪過！而且一定是在找非常重要的東西
，例如說沙皇的金彩蛋或是竇加遺失的畫作之類的。」事後她想起自家客廳已經1個月呈
現這樣的狀態，這是她自己造成的，於是發誓隔天要好好整理客廳。

究竟阿翔說的「4個裸男在陽台抽菸」是否為真，至今成為懸案。如今對照現在不倫戀，
當時阿翔稱說2人「變質是在1個月內發生的事」，現在看來十分諷刺，外界推測2人偷情
才1個月的說法根本就是謊言。

5.完整新聞連結 (或短網址):


6.備註:

--
 ","Sat Jun 22 00:02:06 2019 ","Jun","00:02:06"
"[問卦] 有什麼方法可以讓罷工結束 ","
長榮如果上網公告近期增聘
幾百名空服員訓練咧
這招雖是遠水救不了機近火
但至少可以嚇一嚇現場罷工空服員！
長榮應讓罷工者知道
少了你公司不會怎樣的態度
沒有一家公司會因一個人離職而倒閉

--
 ","Sat Jun 22 00:03:29 2019 ","Jun","00:03:29"
"[問卦] 邀三洞的機票哪裡買的到? ","

  光頭說要派軍機協助疏運旅客

  神通廣大的鄉民
  有沒有知道哪裡可以買的到軍機機票啊?
  沒坐過就是屌
  不知道有沒有廉航的優惠???

  有卦嗎?

--
 ","Sat Jun 22 00:03:35 2019 ","Jun","00:03:35"
"[問卦] 台女這次是不是貪婪過頭了？ ","
如題

我覺得長榮罷工有點過頭耶

你今天長榮跟華航完全不同性質的公司

私人有私人的體制

何況長榮福利也好很多

台女還要求一堆 當初就不要進來就好

這跟反年改貪婪老人有什麼分別

台女這次是不是貪婪過頭了？

--
 ","Sat Jun 22 00:04:08 2019 ","Jun","00:04:08"
"Re: [問卦] 曹操如果當時沒有偷吃張濟的老婆 會怎樣? ","



如果曹操沒有偷吃張濟老婆的話......


--- 建安二年（197年）---


由於曹操沒有偷吃張濟的老婆
當時投奔在曹操底下的人妻控關羽就有機會偷吃張濟的老婆
曹操沒處理好 所以張繡依舊起兵叛變
曹昂.典韋只能含淚GG


--- 建安三年（198年）---


曹操和劉備一同在下邳圍攻呂布
關羽說他老婆沒有幫他生下孩子
便向曹操請求城破後娶呂布部將秦宜祿妻子杜氏為妻
曹操對關羽說上次都讓你偷吃張濟老婆了
這次也該輪到我納了杜氏為妾......


--- 建安五年（200年）---


關羽出走


站在常見的命運悖論型電影情節來看
我們可以得到一個很trivial的結論
那就是












                               人妻刺激  ^ _^









--
 ","Sat Jun 22 00:04:16 2019 ","Jun","00:04:16"
"[新聞] 邱顯智新竹交棒 不排除回嘉參選 ","









邱顯智 近期在嘉義市出沒~ 鴨子划水地方拜會

還至嘉義高中與學生共同反送中

台聯嘉義市議員蔡永泉跟進表態

看來嘉義市立委泛綠系統選票

將面臨分裂

替現任民進黨嘉義市立委提名人

帶來嚴峻挑戰!

===============================
邱顯智新竹交棒 不排除回嘉參選



記者彭琬馨／台北報導  自由時報

時代力量明天將公布兩席區域立委提名人選，除了已表態參選台北市松信區的司改會前執
行長陳雨凡，另一席則是上回黨主席邱顯智力戰民進黨團總召柯建銘的新竹市選區，這也
代表2020立委選舉邱顯智將不在新竹市參戰。據了解，自邱顯智就任黨主席以來，嘉義地
區就有諸多呼聲，盼邱顯智能回鄉參選，邱顯智私下也多次向幕僚透露，在地方掃街時「
感受到鄉親的熱情」，目前正積極考慮對黨最有利的方式規劃，若有機會將不排除參選嘉
義市或山線立委。

邱顯智曾代表時代力量參選2016年第九屆立委選舉，對上當時爭取連任第8次的民進黨團
總召柯建銘。邱顯智當時在政見會上提出「告別王柯體制，廢除黨團協商」的主張，抨擊
黨團協商是密室黑箱，主張改革朝野協商，最終獲得3萬6000多票落敗，是當時候選人中
的第三高票。

據悉，邱顯智出身嘉義山線，就任黨主席後就經常在地方走動，期間並聽聞當地居民因厭
惡傳統政黨派系，希望他能代表時代力量參選，也讓邱顯智起心動念、考慮回鄉服務；據
了解，由於地方呼聲高，黨內考量就算邱顯智未能參選嘉義，「也會派出強棒參選」。

--
 ","Sat Jun 22 00:04:31 2019 ","Jun","00:04:31"
"Re: [問卦] 朋友一直炫耀在竹科工作 ","
台gg是真的蠻不錯的
我手上股票最多的是星巴克
19x的時候買了100多張吧
第二多的就是台gg
因為n年前我還在唸學店的時候
我認識的理組肥宅都憧憬著台gg
我就也買了一些
平均成本20x
大概10幾張吧
台gg 好公司 好公司 台gg

--
存好心 說好話 做好事 發u文

--
 ","Sat Jun 22 00:04:48 2019 ","Jun","00:04:48"
