t,date,qua
香港,2019-06-05,116
香港,2019-06-06,54
香港,2019-06-07,81
香港,2019-06-08,59
香港,2019-06-09,1330
香港,2019-06-10,2014
香港,2019-06-11,1209
香港,2019-06-12,3180
香港,2019-06-13,2322
香港,2019-06-14,1428
香港,2019-06-15,1321
香港,2019-06-16,1443
香港,2019-06-17,1181
香港,2019-06-18,683
香港,2019-06-19,350
香港,2019-06-20,282
香港,2019-06-21,322
香港,2019-06-22,205
香港,2019-06-23,162
香港,2019-06-24,244
香港,2019-06-25,317
香港,2019-06-26,259
香港,2019-06-27,268
香港,2019-06-28,214
香港,2019-06-29,146
香港,2019-06-30,146
香港,2019-07-01,843
香港,2019-07-02,539
香港,2019-07-03,278
香港,2019-07-04,164
香港,2019-07-05,221
香港,2019-07-06,141
香港,2019-07-07,212
香港,2019-07-08,193
香港,2019-07-09,359
香港,2019-07-10,129
香港,2019-07-11,145
香港,2019-07-12,144
香港,2019-07-13,118
香港,2019-07-14,201
香港,2019-07-15,191
香港,2019-07-16,202
香港,2019-07-17,128
香港,2019-07-18,153
香港,2019-07-19,197
香港,2019-07-20,84
香港,2019-07-21,258
香港,2019-07-22,1008
阿翔,2019-06-05,0
阿翔,2019-06-06,0
阿翔,2019-06-07,2
阿翔,2019-06-08,0
阿翔,2019-06-09,0
阿翔,2019-06-10,0
阿翔,2019-06-11,0
阿翔,2019-06-12,419
阿翔,2019-06-13,193
阿翔,2019-06-14,135
阿翔,2019-06-15,69
阿翔,2019-06-16,56
阿翔,2019-06-17,106
阿翔,2019-06-18,200
阿翔,2019-06-19,50
阿翔,2019-06-20,42
阿翔,2019-06-21,17
阿翔,2019-06-22,13
阿翔,2019-06-23,5
阿翔,2019-06-24,15
阿翔,2019-06-25,2
阿翔,2019-06-26,3
阿翔,2019-06-27,11
阿翔,2019-06-28,0
阿翔,2019-06-29,0
阿翔,2019-06-30,0
阿翔,2019-07-01,0
阿翔,2019-07-02,0
阿翔,2019-07-03,0
阿翔,2019-07-04,2
阿翔,2019-07-05,9
阿翔,2019-07-06,6
阿翔,2019-07-07,2
阿翔,2019-07-08,0
阿翔,2019-07-09,1
阿翔,2019-07-10,3
阿翔,2019-07-11,0
阿翔,2019-07-12,2
阿翔,2019-07-13,1
阿翔,2019-07-14,0
阿翔,2019-07-15,2
阿翔,2019-07-16,0
阿翔,2019-07-17,0
阿翔,2019-07-18,5
阿翔,2019-07-19,2
阿翔,2019-07-20,6
阿翔,2019-07-21,0
阿翔,2019-07-22,0
韓國瑜,2019-06-05,371
韓國瑜,2019-06-06,452
韓國瑜,2019-06-07,298
韓國瑜,2019-06-08,448
韓國瑜,2019-06-09,486
韓國瑜,2019-06-10,486
韓國瑜,2019-06-11,466
韓國瑜,2019-06-12,378
韓國瑜,2019-06-13,450
韓國瑜,2019-06-14,518
韓國瑜,2019-06-15,552
韓國瑜,2019-06-16,462
韓國瑜,2019-06-17,554
韓國瑜,2019-06-18,524
韓國瑜,2019-06-19,557
韓國瑜,2019-06-20,611
韓國瑜,2019-06-21,442
韓國瑜,2019-06-22,533
韓國瑜,2019-06-23,427
韓國瑜,2019-06-24,441
韓國瑜,2019-06-25,461
韓國瑜,2019-06-26,517
韓國瑜,2019-06-27,302
韓國瑜,2019-06-28,392
韓國瑜,2019-06-29,294
韓國瑜,2019-06-30,421
韓國瑜,2019-07-01,420
韓國瑜,2019-07-02,418
韓國瑜,2019-07-03,388
韓國瑜,2019-07-04,249
韓國瑜,2019-07-05,213
韓國瑜,2019-07-06,228
韓國瑜,2019-07-07,477
韓國瑜,2019-07-08,284
韓國瑜,2019-07-09,306
韓國瑜,2019-07-10,290
韓國瑜,2019-07-11,292
韓國瑜,2019-07-12,376
韓國瑜,2019-07-13,124
韓國瑜,2019-07-14,123
韓國瑜,2019-07-15,698
韓國瑜,2019-07-16,560
韓國瑜,2019-07-17,492
韓國瑜,2019-07-18,423
韓國瑜,2019-07-19,560
韓國瑜,2019-07-20,514
韓國瑜,2019-07-21,296
韓國瑜,2019-07-22,371
發大財,2019-06-05,85
發大財,2019-06-06,43
發大財,2019-06-07,68
發大財,2019-06-08,87
發大財,2019-06-09,108
發大財,2019-06-10,120
發大財,2019-06-11,57
發大財,2019-06-12,65
發大財,2019-06-13,64
發大財,2019-06-14,60
發大財,2019-06-15,70
發大財,2019-06-16,46
發大財,2019-06-17,58
發大財,2019-06-18,60
發大財,2019-06-19,48
發大財,2019-06-20,59
發大財,2019-06-21,54
發大財,2019-06-22,41
發大財,2019-06-23,50
發大財,2019-06-24,59
發大財,2019-06-25,87
發大財,2019-06-26,61
發大財,2019-06-27,72
發大財,2019-06-28,43
發大財,2019-06-29,24
發大財,2019-06-30,24
發大財,2019-07-01,33
發大財,2019-07-02,41
發大財,2019-07-03,27
發大財,2019-07-04,41
發大財,2019-07-05,51
發大財,2019-07-06,60
發大財,2019-07-07,57
發大財,2019-07-08,37
發大財,2019-07-09,35
發大財,2019-07-10,24
發大財,2019-07-11,47
發大財,2019-07-12,34
發大財,2019-07-13,30
發大財,2019-07-14,38
發大財,2019-07-15,118
發大財,2019-07-16,62
發大財,2019-07-17,49
發大財,2019-07-18,46
發大財,2019-07-19,76
發大財,2019-07-20,57
發大財,2019-07-21,44
發大財,2019-07-22,47
