t,date,qua
香港,2019/6/5,116
香港,2019/6/6,54
香港,2019/6/7,81
香港,2019/6/8,59
香港,2019/6/9,1330
香港,2019/6/10,2014
香港,2019/6/11,1209
香港,2019/6/12,3180
香港,2019/6/13,2322
香港,2019/6/14,1428
香港,2019/6/15,1321
香港,2019/6/16,1443
香港,2019/6/17,1181
香港,2019/6/18,683
香港,2019/6/19,350
香港,2019/6/20,282
香港,2019/6/21,322
香港,2019/6/22,205
香港,2019/6/23,162
香港,2019/6/24,244
香港,2019/6/25,317
香港,2019/6/26,259
香港,2019/6/27,268
香港,2019/6/28,214
香港,2019/6/29,146
香港,2019/6/30,145
香港,2019/7/1,843
香港,2019/7/2,539
香港,2019/7/3,278
香港,2019/7/4,164
香港,2019/7/5,221
香港,2019/7/6,141
香港,2019/7/7,212
香港,2019/7/8,193
香港,2019/7/9,359
香港,2019/7/10,129
香港,2019/7/11,145
香港,2019/7/12,144
香港,2019/7/13,118
香港,2019/7/14,201
香港,2019/7/15,191
香港,2019/7/16,202
香港,2019/7/17,128
香港,2019/7/18,153
香港,2019/7/19,197
香港,2019/7/20,84
香港,2019/7/21,258
香港,2019/7/22,1008
反送中,2019/6/5,1
反送中,2019/6/6,0
反送中,2019/6/7,1
反送中,2019/6/8,0
反送中,2019/6/9,121
反送中,2019/6/10,290
反送中,2019/6/11,147
反送中,2019/6/12,379
反送中,2019/6/13,357
反送中,2019/6/14,211
反送中,2019/6/15,204
反送中,2019/6/16,335
反送中,2019/6/17,240
反送中,2019/6/18,98
反送中,2019/6/19,44
反送中,2019/6/20,67
反送中,2019/6/21,67
反送中,2019/6/22,50
反送中,2019/6/23,42
反送中,2019/6/24,103
反送中,2019/6/25,43
反送中,2019/6/26,34
反送中,2019/6/27,100
反送中,2019/6/28,69
反送中,2019/6/29,60
反送中,2019/6/30,61
反送中,2019/7/1,136
反送中,2019/7/2,97
反送中,2019/7/3,34
反送中,2019/7/4,41
反送中,2019/7/5,47
反送中,2019/7/6,20
反送中,2019/7/7,71
反送中,2019/7/8,60
反送中,2019/7/9,69
反送中,2019/7/10,24
反送中,2019/7/11,24
反送中,2019/7/12,34
反送中,2019/7/13,25
反送中,2019/7/14,53
反送中,2019/7/15,36
反送中,2019/7/16,30
反送中,2019/7/17,37
反送中,2019/7/18,51
反送中,2019/7/19,41
反送中,2019/7/20,18
反送中,2019/7/21,47
反送中,2019/7/22,141
逃犯條例,2019/6/5,9
逃犯條例,2019/6/6,6
逃犯條例,2019/6/7,21
逃犯條例,2019/6/8,8
逃犯條例,2019/6/9,87
逃犯條例,2019/6/10,160
逃犯條例,2019/6/11,143
逃犯條例,2019/6/12,251
逃犯條例,2019/6/13,167
逃犯條例,2019/6/14,124
逃犯條例,2019/6/15,141
逃犯條例,2019/6/16,159
逃犯條例,2019/6/17,88
逃犯條例,2019/6/18,55
逃犯條例,2019/6/19,26
逃犯條例,2019/6/20,23
逃犯條例,2019/6/21,19
逃犯條例,2019/6/22,23
逃犯條例,2019/6/23,5
逃犯條例,2019/6/24,11
逃犯條例,2019/6/25,8
逃犯條例,2019/6/26,22
逃犯條例,2019/6/27,24
逃犯條例,2019/6/28,13
逃犯條例,2019/6/29,7
逃犯條例,2019/6/30,26
逃犯條例,2019/7/1,14
逃犯條例,2019/7/2,13
逃犯條例,2019/7/3,6
逃犯條例,2019/7/4,1
逃犯條例,2019/7/5,4
逃犯條例,2019/7/6,9
逃犯條例,2019/7/7,11
逃犯條例,2019/7/8,12
逃犯條例,2019/7/9,32
逃犯條例,2019/7/10,6
逃犯條例,2019/7/11,1
逃犯條例,2019/7/12,3
逃犯條例,2019/7/13,1
逃犯條例,2019/7/14,12
逃犯條例,2019/7/15,18
逃犯條例,2019/7/16,10
逃犯條例,2019/7/17,5
逃犯條例,2019/7/18,5
逃犯條例,2019/7/19,13
逃犯條例,2019/7/20,2
逃犯條例,2019/7/21,11
逃犯條例,2019/7/22,6
共產黨,2019/6/5,48
共產黨,2019/6/6,23
共產黨,2019/6/7,36
共產黨,2019/6/8,21
共產黨,2019/6/9,45
共產黨,2019/6/10,82
共產黨,2019/6/11,41
共產黨,2019/6/12,93
共產黨,2019/6/13,80
共產黨,2019/6/14,45
共產黨,2019/6/15,61
共產黨,2019/6/16,82
共產黨,2019/6/17,57
共產黨,2019/6/18,40
共產黨,2019/6/19,27
共產黨,2019/6/20,33
共產黨,2019/6/21,39
共產黨,2019/6/22,23
共產黨,2019/6/23,56
共產黨,2019/6/24,36
共產黨,2019/6/25,36
共產黨,2019/6/26,19
共產黨,2019/6/27,39
共產黨,2019/6/28,39
共產黨,2019/6/29,46
共產黨,2019/6/30,28
共產黨,2019/7/1,33
共產黨,2019/7/2,27
共產黨,2019/7/3,27
共產黨,2019/7/4,15
共產黨,2019/7/5,43
共產黨,2019/7/6,34
共產黨,2019/7/7,18
共產黨,2019/7/8,16
共產黨,2019/7/9,23
共產黨,2019/7/10,41
共產黨,2019/7/11,33
共產黨,2019/7/12,32
共產黨,2019/7/13,28
共產黨,2019/7/14,14
共產黨,2019/7/15,27
共產黨,2019/7/16,12
共產黨,2019/7/17,19
共產黨,2019/7/18,82
共產黨,2019/7/19,25
共產黨,2019/7/20,34
共產黨,2019/7/21,30
共產黨,2019/7/22,66
遊行,2019/6/5,12
遊行,2019/6/6,4
遊行,2019/6/7,53
遊行,2019/6/8,34
遊行,2019/6/9,353
遊行,2019/6/10,511
遊行,2019/6/11,202
遊行,2019/6/12,192
遊行,2019/6/13,141
遊行,2019/6/14,131
遊行,2019/6/15,132
遊行,2019/6/16,466
遊行,2019/6/17,275
遊行,2019/6/18,129
遊行,2019/6/19,68
遊行,2019/6/20,85
遊行,2019/6/21,76
遊行,2019/6/22,159
遊行,2019/6/23,570
遊行,2019/6/24,226
遊行,2019/6/25,101
遊行,2019/6/26,62
